BHT_SIZE_BITS,PHT_SIZE_BITS,HIST_LEN,trace,instructions,branches,cond_branches,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_latency,p2_latency,energy_per_inst
5,4,6,test,2004999,396599,334545,2004999,139023,0,0,46800,0.606667,0.62,46
5,4,7,test,2004999,396599,334545,2004999,147472,0,0,50908,0.61,0.623333,48
5,4,8,test,2004999,396599,334545,2004999,155900,0,0,55906,0.68,0.693333,53
5,4,9,test,2004999,396599,334545,2004999,166804,0,0,60259,0.613333,0.626667,51
5,4,10,test,2004999,396599,334545,2004999,238070,0,0,110881,0.613333,0.626667,53
5,4,11,test,2004999,396599,334545,2004999,187905,0,0,74547,0.65,0.663333,56
5,4,12,test,2004999,396599,334545,2004999,186069,0,0,69934,0.653333,0.666667,57
5,5,4,test,2004999,396599,334545,2004999,104696,0,0,38492,0.703333,0.716667,48
5,5,5,test,2004999,396599,334545,2004999,114759,0,0,36168,0.633333,0.646667,46
5,5,6,test,2004999,396599,334545,2004999,123998,0,0,40452,0.67,0.683333,50
5,5,7,test,2004999,396599,334545,2004999,132080,0,0,45487,0.673333,0.686667,52
5,5,8,test,2004999,396599,334545,2004999,139530,0,0,49067,0.676667,0.69,55
5,5,9,test,2004999,396599,334545,2004999,149776,0,0,54103,0.666667,0.68,57
5,5,10,test,2004999,396599,334545,2004999,229261,0,0,105968,0.666667,0.68,60
5,5,11,test,2004999,396599,334545,2004999,169469,0,0,67279,0.706667,0.72,63
5,5,12,test,2004999,396599,334545,2004999,167118,0,0,61650,0.706667,0.72,65
5,6,4,test,2004999,396599,334545,2004999,100263,0,0,36028,0.656667,0.67,50
5,6,5,test,2004999,396599,334545,2004999,109999,0,0,33708,0.663333,0.676667,53
5,6,6,test,2004999,396599,334545,2004999,118609,0,0,37197,0.7,0.713333,57
5,6,7,test,2004999,396599,334545,2004999,125950,0,0,41190,0.703333,0.716667,60
5,6,8,test,2004999,396599,334545,2004999,133254,0,0,45521,0.773333,0.786667,68
5,6,9,test,2004999,396599,334545,2004999,143501,0,0,50639,0.703333,0.716667,66
5,6,10,test,2004999,396599,334545,2004999,230147,0,0,106927,0.706667,0.72,69
5,6,11,test,2004999,396599,334545,2004999,162931,0,0,64634,0.746667,0.76,73
5,6,12,test,2004999,396599,334545,2004999,159389,0,0,57734,0.75,0.763333,76
5,7,4,test,2004999,396599,334545,2004999,98444,0,0,36359,0.766667,0.78,63
5,7,5,test,2004999,396599,334545,2004999,108151,0,0,34115,0.69,0.703333,63
5,7,6,test,2004999,396599,334545,2004999,116825,0,0,39505,0.796667,0.81,72
5,7,7,test,2004999,396599,334545,2004999,124136,0,0,42700,0.8,0.813333,77
5,7,8,test,2004999,396599,334545,2004999,132176,0,0,45275,0.806667,0.82,82
5,7,9,test,2004999,396599,334545,2004999,141258,0,0,50210,0.803333,0.816667,83
5,7,10,test,2004999,396599,334545,2004999,222737,0,0,104163,0.806667,0.82,88
5,7,11,test,2004999,396599,334545,2004999,159094,0,0,63425,0.846667,0.86,93
5,7,12,test,2004999,396599,334545,2004999,158096,0,0,57647,0.846667,0.86,96
5,8,4,test,2004999,396599,334545,2004999,93238,0,0,33273,0.75,0.763333,72
5,8,5,test,2004999,396599,334545,2004999,102338,0,0,31135,0.746667,0.76,76
5,8,6,test,2004999,396599,334545,2004999,110487,0,0,34348,0.783333,0.796667,84
5,8,7,test,2004999,396599,334545,2004999,117232,0,0,37980,0.79,0.803333,90
5,8,8,test,2004999,396599,334545,2004999,124550,0,0,42034,0.803333,0.816667,99
5,8,9,test,2004999,396599,334545,2004999,134447,0,0,46964,0.796667,0.81,103
5,8,10,test,2004999,396599,334545,2004999,228752,0,0,107282,0.8,0.813333,110
5,8,11,test,2004999,396599,334545,2004999,152933,0,0,60001,0.85,0.863333,118
5,8,12,test,2004999,396599,334545,2004999,149915,0,0,53047,0.846667,0.86,133
5,9,4,test,2004999,396599,334545,2004999,93482,0,0,33269,0.786667,0.8,94
5,9,5,test,2004999,396599,334545,2004999,102588,0,0,31043,0.8,0.813333,104
5,9,6,test,2004999,396599,334545,2004999,110752,0,0,34245,0.826667,0.84,123
5,9,7,test,2004999,396599,334545,2004999,117552,0,0,37765,0.833333,0.846667,135
5,9,8,test,2004999,396599,334545,2004999,124909,0,0,41907,0.85,0.863333,147
5,9,9,test,2004999,396599,334545,2004999,134900,0,0,46662,0.87,0.883333,132
5,9,10,test,2004999,396599,334545,2004999,229637,0,0,107926,0.873333,0.886667,141
5,9,11,test,2004999,396599,334545,2004999,153681,0,0,60102,0.913333,0.926667,150
5,9,12,test,2004999,396599,334545,2004999,150485,0,0,53153,0.913333,0.926667,170
5,10,4,test,2004999,396599,334545,2004999,92784,0,0,33000,0.83,0.843333,138
5,10,5,test,2004999,396599,334545,2004999,101780,0,0,30816,0.843333,0.856667,159
5,10,6,test,2004999,396599,334545,2004999,109831,0,0,33987,0.893333,0.906667,155
5,10,7,test,2004999,396599,334545,2004999,116494,0,0,37448,0.896667,0.91,169
5,10,8,test,2004999,396599,334545,2004999,123720,0,0,41387,0.913333,0.926667,186
5,10,9,test,2004999,396599,334545,2004999,133587,0,0,46265,0.92,0.933333,197
5,10,10,test,2004999,396599,334545,2004999,228290,0,0,106953,0.926667,0.94,212
5,10,11,test,2004999,396599,334545,2004999,151996,0,0,59245,0.97,0.983333,228
5,10,12,test,2004999,396599,334545,2004999,148729,0,0,52087,0.976667,0.99,243
5,11,4,test,2004999,396599,334545,2004999,92576,0,0,32915,0.896667,0.91,176
5,11,5,test,2004999,396599,334545,2004999,101541,0,0,30700,0.906667,0.92,199
5,11,6,test,2004999,396599,334545,2004999,109558,0,0,33899,0.953333,0.966667,228
5,11,7,test,2004999,396599,334545,2004999,116184,0,0,37251,0.98,0.993333,255
5,11,8,test,2004999,396599,334545,2004999,123382,0,0,41256,1.06333,1.07667,203
5,11,9,test,2004999,396599,334545,2004999,133224,0,0,46028,1.07,1.08333,220
5,11,10,test,2004999,396599,334545,2004999,228168,0,0,107010,1.07667,1.09,235
5,11,11,test,2004999,396599,334545,2004999,151560,0,0,58985,1.12,1.13333,251
5,11,12,test,2004999,396599,334545,2004999,148280,0,0,51862,1.12667,1.14,266
5,12,4,test,2004999,396599,334545,2004999,92489,0,0,32903,1.05333,1.06667,192
5,12,5,test,2004999,396599,334545,2004999,101449,0,0,30670,1.05667,1.07,218
5,12,6,test,2004999,396599,334545,2004999,109448,0,0,33858,1.10333,1.11667,246
5,12,7,test,2004999,396599,334545,2004999,116075,0,0,37233,1.11667,1.13,272
5,12,8,test,2004999,396599,334545,2004999,123266,0,0,41206,1.14333,1.15667,302
5,12,9,test,2004999,396599,334545,2004999,133079,0,0,46028,1.15667,1.17,329
5,12,10,test,2004999,396599,334545,2004999,228043,0,0,106895,1.20333,1.21667,313
5,12,11,test,2004999,396599,334545,2004999,151384,0,0,58915,1.25,1.26333,337
5,12,12,test,2004999,396599,334545,2004999,148134,0,0,51797,1.26667,1.28,361
6,4,4,test,2004999,396599,334545,2004999,118433,0,0,44539,0.7,0.713333,48
6,4,5,test,2004999,396599,334545,2004999,128876,0,0,41322,0.653333,0.666667,48
6,4,6,test,2004999,396599,334545,2004999,138233,0,0,38572,0.656667,0.67,50
6,4,7,test,2004999,396599,334545,2004999,146635,0,0,42810,0.693333,0.706667,54
6,4,8,test,2004999,396599,334545,2004999,155097,0,0,47327,0.623333,0.636667,52
6,4,9,test,2004999,396599,334545,2004999,162326,0,0,49443,0.696667,0.71,58
6,4,10,test,2004999,396599,334545,2004999,169807,0,0,52368,0.696667,0.71,60
6,4,11,test,2004999,396599,334545,2004999,178259,0,0,54858,0.696667,0.71,62
6,4,12,test,2004999,396599,334545,2004999,247440,0,0,109695,0.63,0.643333,59
6,5,4,test,2004999,396599,334545,2004999,104696,0,0,38492,0.646667,0.66,46
6,5,5,test,2004999,396599,334545,2004999,114759,0,0,36168,0.646667,0.66,49
6,5,6,test,2004999,396599,334545,2004999,123308,0,0,34280,0.65,0.663333,51
6,5,7,test,2004999,396599,334545,2004999,131355,0,0,38034,0.756667,0.77,58
6,5,8,test,2004999,396599,334545,2004999,138507,0,0,42264,0.76,0.773333,61
6,5,9,test,2004999,396599,334545,2004999,145575,0,0,44292,0.75,0.763333,63
6,5,10,test,2004999,396599,334545,2004999,152149,0,0,46644,0.75,0.763333,65
6,5,11,test,2004999,396599,334545,2004999,160005,0,0,49065,0.753333,0.766667,67
6,5,12,test,2004999,396599,334545,2004999,237932,0,0,103865,0.753333,0.766667,70
6,6,4,test,2004999,396599,334545,2004999,100263,0,0,36028,0.74,0.753333,55
6,6,5,test,2004999,396599,334545,2004999,109999,0,0,33708,0.746667,0.76,58
6,6,6,test,2004999,396599,334545,2004999,118205,0,0,31576,0.75,0.763333,61
6,6,7,test,2004999,396599,334545,2004999,125598,0,0,34629,0.786667,0.8,66
6,6,8,test,2004999,396599,334545,2004999,132044,0,0,37756,0.786667,0.8,69
6,6,9,test,2004999,396599,334545,2004999,138867,0,0,40103,0.786667,0.8,72
6,6,10,test,2004999,396599,334545,2004999,145405,0,0,44443,0.79,0.803333,75
6,6,11,test,2004999,396599,334545,2004999,153860,0,0,46680,0.793333,0.806667,78
6,6,12,test,2004999,396599,334545,2004999,237801,0,0,105018,0.796667,0.81,82
6,7,4,test,2004999,396599,334545,2004999,98444,0,0,36359,0.77,0.783333,64
6,7,5,test,2004999,396599,334545,2004999,108151,0,0,34115,0.773333,0.786667,69
